Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
002563,Zhejiang Semir Garment Co. Ltd. Class A,"0,0009%",Clothing and Accessories,CN,"26.030,59 USD",29.700
002242,Joyoung Co. Ltd. Class A,"0,0009%",Household Appliance,CN,"26.012,01 USD",16.200
1812,Shandong Chenming Paper Holdings Ltd. Class H,"0,0009%",Paper,CN,"25.922,40 USD",104.000
600216,Zhejiang Medicine Co. Ltd. Class A,"0,0009%",Pharmaceuticals,CN,"25.626,48 USD",18.700
002110,Sansteel Minguang Co. Ltd. Fujian Class A,"0,0009%",Iron and Steel,CN,"25.617,68 USD",52.300
002146,RiseSun Real Estate Development Co. Ltd. Class A,"0,0009%",Real Estate Holding and Development,CN,"25.152,35 USD",102.700
000402,Financial Street Holdings Co. Ltd. Class A,"0,0009%",Real Estate Holding and Development,CN,"25.087,68 USD",61.600
000810,Skyworth Digital Co. Ltd. Class A,"0,0009%",Consumer Electronics,CN,"25.086,17 USD",18.700
688696,Chengdu XGimi Technology Co. Ltd. Class A,"0,0009%",Consumer Electronics,CN,"24.999,24 USD",2.031
002434,Zhejiang Wanliyang Co. Ltd. Class A,"0,0009%",Auto Parts,CN,"24.812,50 USD",31.200
600567,Shanying International Holding Co. Ltd. Class A,"0,0009%",Paper,CN,"24.683,85 USD",103.700
688690,Suzhou Nanomicro Technology Co. Ltd. Class A,"0,0009%",Specialty Chemicals,CN,"24.536,69 USD",9.164
603515,Opple Lighting Co. Ltd. Class A,"0,0009%",Building Materials: Other,CN,"24.515,58 USD",8.900
300558,Betta Pharmaceuticals Co. Ltd. Class A,"0,0009%",Pharmaceuticals,CN,"24.457,24 USD",4.700
603927,Sinosoft Co. Ltd. Class A,"0,0009%",Software,CN,"24.442,57 USD",9.660
603026,Shida Shinghwa Advanced Material Group Co. Ltd. Class A,"0,0009%",Chemicals: Diversified,CN,"24.407,16 USD",4.500
002583,Hytera Communications Corp. Ltd. Class A,"0,0009%",Telecommunications Equipment,CN,"24.205,45 USD",42.700
688006,Zhejiang HangKe Technology Inc. Co. Class A,"0,0009%",Electronic Equipment: Other,CN,"24.077,74 USD",8.612
600167,Luenmei Quantum Co. Ltd. Class A,"0,0009%",Multi-Utilities,CN,"24.060,43 USD",29.000
002440,Zhejiang Runtu Co. Ltd. Class A,"0,0008%",Specialty Chemicals,CN,"23.951,73 USD",27.200
000059,North Huajin Chemical Industries Co. Ltd. Class A,"0,0008%",Chemicals: Diversified,CN,"23.934,95 USD",36.700
603858,Shandong Buchang Pharmaceuticals Co. Ltd. Class A,"0,0008%",Pharmaceuticals,CN,"23.761,86 USD",11.000
002183,Eternal Asia Supply Chain Management Ltd. Class A,"0,0008%",Industrial Suppliers,CN,"23.022,72 USD",50.400
600635,Shanghai Dazhong Public Utilities Group Co. Ltd. Class A,"0,0008%",Gas Distribution,CN,"22.983,10 USD",58.000
603228,Shenzhen Kinwong Electronic Co. Ltd. Class A,"0,0008%",Electronic Components,CN,"22.959,54 USD",6.580
300072,Beijing Sanju Environmental Protection and New Material Co. Ltd. Class A,"0,0008%",Chemicals: Diversified,CN,"22.725,12 USD",71.500
603712,Tianjin 712 Communication & Broadcasting Co. Ltd. Class A,"0,0008%",Telecommunications Equipment,CN,"22.460,25 USD",7.700
002081,Suzhou Gold Mantis Construction Decoration Co. Ltd. Class A,"0,0008%",Building Materials: Other,CN,"22.202,13 USD",47.600
002373,China TransInfo Technology Co. Ltd. Class A,"0,0008%",Computer Services,CN,"21.845,64 USD",17.900
000555,Digital China Information Service Group Co. Ltd. Class A,"0,0008%",Computer Services,CN,"21.774,23 USD",13.400
000061,Shenzhen Agricultural Products Group Co. Ltd. Class A,"0,0008%",Food Retailers and Wholesalers,CN,"21.728,27 USD",28.200
YYLGD.E,Yayla Agro Gida Sanayi VE Nakliyat AS,"0,0008%",Food Products,TR,"21.680,40 USD",55.246
600556,Inmyshow Digital Technology Group Co. Ltd. Class A,"0,0008%",Media Agencies,CN,"21.343,57 USD",37.200
601158,Chongqing Water Group Co. Ltd. Class A,"0,0008%",Water,CN,"21.288,90 USD",30.458
PEKGY.E,Peker Gayrimenkul Yatirim Ortakligi AS,"0,0007%",Real Estate Holding and Development,TR,"21.149,46 USD",88.699
002249,Zhongshan Broad Ocean Motor Co. Ltd. Class A,"0,0007%",Electrical Components,CN,"20.900,25 USD",29.100
