Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
TJX,TJX Cos. Inc.,"0,1569%",Apparel Retailers,US,"41.021.324,90 USD",397.879
BLK,BlackRock Inc.,"0,1543%",Asset Managers and Custodians,US,"40.357.096,22 USD",52.274
MS,Morgan Stanley,"0,1519%",Investment Services,US,"39.711.201,36 USD",405.879
RELIANCE,Reliance Industries Ltd.,"0,1512%",Oil Refining and Marketing,IN,"39.541.065,34 USD",1.153.713
ALV,Allianz SE,"0,1497%",Full Line Insurance,DE,"39.141.554,32 USD",134.384
NKE,NIKE Inc. Class B,"0,1491%",Footwear,US,"38.984.282,25 USD",410.145
BSX,Boston Scientific Corp.,"0,1461%",Medical Equipment,US,"38.214.010,89 USD",505.677
CB,Chubb Ltd.,"0,1457%",Property and Casualty Insurance,CH,"38.098.415,96 USD",140.678
SCHW,Charles Schwab Corp.,"0,145%",Investment Services,US,"37.902.980,80 USD",517.235
MDT,Medtronic plc,"0,1433%",Medical Equipment,IE,"37.475.929,94 USD",460.562
SAN,Sanofi SA,"0,1406%",Pharmaceuticals,FR,"36.765.513,08 USD",377.301
BP.,BP plc,"0,1387%",Integrated Oil and Gas,GB,"36.259.098,95 USD",5.834.009
MMC,Marsh & McLennan Cos. Inc.,"0,138%",Insurance Brokers,US,"36.085.499,62 USD",173.839
KLAC,KLA Corp.,"0,1362%",Production Technology Equipment,US,"35.600.690,16 USD",46.872
ADP,Automatic Data Processing Inc.,"0,1357%",Professional Business Support Services,US,"35.484.254,52 USD",144.881
6758,Sony Group Corp.,"0,1357%",Consumer Electronics,JP,"35.481.867,07 USD",432.400
PLD,Prologis Inc.,"0,1356%",Industrial REITs,US,"35.447.070,33 USD",320.817
HDFCBANK,HDFC Bank Ltd.,"0,1355%",Banks,IN,"35.435.540,03 USD",1.931.278
BA,Boeing Co.,"0,1354%",Aerospace,US,"35.409.395,26 USD",199.366
UPS,United Parcel Service Inc. Class B,"0,1352%",Delivery Services,US,"35.341.985,91 USD",254.387
LMT,Lockheed Martin Corp.,"0,1348%",Defense,US,"35.238.813,48 USD",74.922
REGN,Regeneron Pharmaceuticals Inc.,"0,134%",Biotechnology,US,"35.041.700,16 USD",35.751
AIR,Airbus SE,"0,1334%",Aerospace,NL,"34.870.232,28 USD",206.034
CI,Cigna Group,"0,133%",Health Care Management Services,US,"34.766.299,46 USD",100.883
TD,Toronto-Dominion Bank,"0,1321%",Banks,CA,"34.539.565,27 USD",617.882
DE,Deere & Co.,"0,1296%",Machinery: Agricultural,US,"33.880.552,56 USD",90.406
8035,Tokyo Electron Ltd.,"0,1279%",Production Technology Equipment,JP,"33.447.024,72 USD",156.290
UBSG,UBS Group AG,"0,1254%",Asset Managers and Custodians,CH,"32.781.390,13 USD",1.038.039
MDLZ,Mondelez International Inc. Class A,"0,125%",Food Products,US,"32.673.527,81 USD",476.777
PANW,Palo Alto Networks Inc.,"0,1231%",Software,US,"32.180.284,29 USD",109.119
CSL,CSL Ltd.,"0,1228%",Pharmaceuticals,AU,"32.108.237,61 USD",172.365
PDD,PDD Holdings Inc. ADR,"0,1218%",Consumer Digital Services,KY,"31.852.364,58 USD",212.661
1299,AIA Group Ltd.,"0,1218%",Life Insurance,HK,"31.847.062,96 USD",4.121.600
6501,Hitachi Ltd.,"0,1212%",Diversified Industrials,JP,"31.695.138,25 USD",308.500
AMT,American Tower Corp.,"0,1206%",Infrastructure REITs,US,"31.532.735,30 USD",161.095
FI,Fiserv Inc.,"0,1202%",Transaction Processing Services,US,"31.419.048,96 USD",209.796
SBUX,Starbucks Corp.,"0,1198%",Restaurants and Bars,US,"31.328.236,38 USD",390.529
GSK,GSK plc,"0,1197%",Pharmaceuticals,GB,"31.295.389,64 USD",1.391.458
SO,Southern Co.,"0,1172%",Conventional Electricity,US,"30.653.710,28 USD",382.502
6861,Keyence Corp.,"0,1161%",Electronic Equipment: Gauges and Meters,JP,"30.364.154,13 USD",67.500
TMUS,T-Mobile US Inc.,"0,114%",Telecommunications Services,US,"29.809.334,88 USD",170.378
BX,Blackstone Group LP Class A,"0,1136%",Asset Managers and Custodians,US,"29.701.563,00 USD",246.486
8316,Sumitomo Mitsui Financial Group Inc.,"0,1134%",Banks,JP,"29.662.859,14 USD",453.000
CMG,Chipotle Mexican Grill Inc. Class A,"0,1133%",Restaurants and Bars,US,"29.633.424,88 USD",9.469
SAN,Banco Santander SA,"0,1131%",Banks,ES,"29.574.241,87 USD",5.634.978
SNPS,Synopsys Inc.,"0,113%",Software,US,"29.542.383,20 USD",52.679
WM,Waste Management Inc.,"0,1128%",Waste and Disposal Services,US,"29.481.759,19 USD",139.903
CFR,Cie Financiere Richemont SA,"0,1125%",Luxury Items,CH,"29.408.458,57 USD",184.178
ABBN,ABB Ltd.,"0,1121%",Electrical Components,CH,"29.315.886,94 USD",535.371
CNQ,Canadian Natural Resources Ltd.,"0,1115%",Oil: Crude Producers,CA,"29.163.076,48 USD",379.691
BMY,Bristol-Myers Squibb Co.,"0,111%",Pharmaceuticals,US,"29.031.112,25 USD",706.525
MO,Altria Group Inc.,"0,1099%",Tobacco,US,"28.724.857,50 USD",621.078
8058,Mitsubishi Corp.,"0,1088%",Diversified Industrials,JP,"28.446.849,72 USD",1.353.400
REL,RELX plc,"0,1088%",Publishing,GB,"28.444.798,03 USD",654.016
RMS,Hermes International SCA,"0,1087%",Clothing and Accessories,FR,"28.420.417,19 USD",12.031
GILD,Gilead Sciences Inc.,"0,1061%",Pharmaceuticals,US,"27.737.132,44 USD",431.572
ZTS,Zoetis Inc.,"0,106%",Pharmaceuticals,US,"27.726.451,20 USD",163.520
MELI,MercadoLibre Inc.,"0,1053%",Consumer Services: Misc.,US,"27.528.177,74 USD",15.953
DUK,Duke Energy Corp.,"0,1051%",Multi-Utilities,US,"27.480.124,53 USD",265.329
DTE,Deutsche Telekom AG,"0,1039%",Telecommunications Services,DE,"27.171.331,77 USD",1.122.874
ENB,Enbridge Inc.,"0,1036%",Pipelines,CA,"27.081.214,99 USD",740.834
SAF,Safran SA,"0,1035%",Aerospace,FR,"27.052.638,50 USD",116.392
RIO,Rio Tinto plc,"0,1025%",General Mining,GB,"26.806.808,24 USD",384.490
BNP,BNP Paribas SA,"0,1022%",Banks,FR,"26.709.890,26 USD",363.424
CDNS,Cadence Design Systems Inc.,"0,102%",Software,US,"26.674.643,77 USD",93.167
MCK,McKesson Corp.,"0,1019%",Drug Retailers,US,"26.638.585,12 USD",46.768
CVS,CVS Health Corp.,"0,1016%",Drug Retailers,US,"26.571.766,00 USD",445.835
APH,Amphenol Corp. Class A,"0,1009%",Electronic Components,US,"26.383.458,92 USD",199.316
000660,SK Hynix Inc.,"0,1002%",Semiconductors,KR,"26.203.356,18 USD",191.754
FCX,Freeport-McMoRan Inc.,"0,1001%",Copper,US,"26.166.366,09 USD",496.233
CL,Colgate-Palmolive Co.,"0,0998%",Personal Products,US,"26.101.680,64 USD",280.784
ZURN,Zurich Insurance Group AG,"0,0996%",Full Line Insurance,CH,"26.032.365,57 USD",49.578
ICE,Intercontinental Exchange Inc.,"0,0995%",Investment Services,US,"26.021.322,60 USD",194.334
IBE,Iberdrola SA,"0,0995%",Conventional Electricity,ES,"26.013.467,77 USD",1.980.355
TT,Trane Technologies plc,"0,0993%",Building: Climate Control,IE,"25.962.338,64 USD",79.284
ANET,Arista Networks Inc.,"0,0991%",Telecommunications Equipment,US,"25.907.456,00 USD",87.040
GLEN,Glencore plc,"0,099%",General Mining,JE,"25.881.020,53 USD",4.228.297
GD,General Dynamics Corp.,"0,0985%",Defense,US,"25.764.931,73 USD",85.949
DGE,Diageo plc,"0,0983%",Distillers and Vintners,GB,"25.702.367,68 USD",767.429
CME,CME Group Inc.,"0,0981%",Investment Services,US,"25.637.591,88 USD",126.306
4063,Shin-Etsu Chemical Co. Ltd.,"0,0978%",Chemicals: Diversified,JP,"25.579.880,05 USD",686.550
EOG,EOG Resources Inc.,"0,0976%",Oil: Crude Producers,US,"25.528.515,30 USD",204.966
8031,Mitsui & Co. Ltd.,"0,0974%",Industrial Suppliers,JP,"25.475.395,34 USD",502.300
CP,Canadian Pacific Kansas City Ltd.,"0,0974%",Railroads,CA,"25.462.419,55 USD",319.929
CNR,Canadian National Railway Co.,"0,0965%",Railroads,CA,"25.239.753,88 USD",198.303
3690,Meituan Dianping Class B,"0,096%",Consumer Digital Services,KY,"25.098.511,67 USD",1.868.263
6098,Recruit Holdings Co. Ltd.,"0,0959%",Business Training and Employment Agencie,JP,"25.073.235,37 USD",495.739
