Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
ITW,Illinois Tool Works Inc.,"0,1535%",Diversified Industrials,US,"5.439.299,25 USD",22.407
CNR,Canadian National Railway Co.,"0,1534%",Railroads,CA,"5.436.456,37 USD",42.713
CME,CME Group Inc.,"0,1534%",Investment Services,US,"5.435.195,46 USD",26.777
SHW,Sherwin-Williams Co.,"0,152%",Paints and Coatings,US,"5.384.247,40 USD",17.723
TGT,Target Corp.,"0,1517%",Diversified Retailers,US,"5.376.120,32 USD",34.427
EQIX,Equinix Inc.,"0,1505%",Other Specialty REITs,US,"5.331.704,24 USD",6.988
TDG,TransDigm Group Inc.,"0,1502%",Aerospace,US,"5.321.877,26 USD",3.962
NXPI,NXP Semiconductors NV,"0,1482%",Semiconductors,NL,"5.250.713,70 USD",19.297
CEG,Constellation Energy Corp.,"0,1474%",Conventional Electricity,US,"5.222.907,25 USD",24.041
SHOP,Shopify Inc. Class A,"0,1443%",Consumer Digital Services,CA,"5.113.742,82 USD",86.422
KKR,KKR & Co. Inc.,"0,1437%",Asset Managers and Custodians,US,"5.092.225,44 USD",49.516
PYPL,PayPal Holdings Inc.,"0,1431%",Transaction Processing Services,US,"5.069.561,18 USD",80.482
PH,Parker-Hannifin Corp.,"0,1429%",Diversified Industrials,US,"5.061.664,96 USD",9.523
HCA,HCA Healthcare Inc.,"0,1423%",Health Care Facilities,US,"5.042.569,50 USD",14.842
BDX,Becton Dickinson & Co.,"0,1414%",Medical Supplies,US,"5.008.928,21 USD",21.593
CRWD,Crowdstrike Holdings Inc. Class A,"0,1412%",Software,US,"5.001.154,48 USD",15.944
CSX,CSX Corp.,"0,1405%",Railroads,US,"4.977.990,00 USD",147.496
SLB,Schlumberger Ltd.,"0,1378%",Oil Equipment and Services,CW,"4.882.099,43 USD",106.387
BN,Brookfield Corp. Class A,"0,1376%",Asset Managers and Custodians,CA,"4.874.088,54 USD",111.948
MPC,Marathon Petroleum Corp.,"0,1369%",Oil Refining and Marketing,US,"4.850.063,82 USD",27.462
BMO,Bank of Montreal,"0,1357%",Banks,CA,"4.809.301,43 USD",53.935
EMR,Emerson Electric Co.,"0,1348%",Electronic Equipment: Other,US,"4.775.099,84 USD",42.574
NOC,Northrop Grumman Corp.,"0,1343%",Defense,US,"4.757.877,35 USD",10.555
USB,US Bancorp,"0,1331%",Banks,US,"4.715.721,70 USD",116.294
MCO,Moody's Corp.,"0,133%",Financial Data Providers,US,"4.711.080,33 USD",11.867
PNC,PNC Financial Services Group Inc.,"0,1324%",Banks,US,"4.690.694,17 USD",29.803
PSX,Phillips 66,"0,1316%",Oil Refining and Marketing,US,"4.661.634,33 USD",32.803
APO,Apollo Global Management LLC,"0,1275%",Asset Managers and Custodians,US,"4.517.927,04 USD",38.894
MSI,Motorola Solutions Inc.,"0,127%",Telecommunications Equipment,US,"4.500.799,94 USD",12.334
ABNB,Airbnb Inc. Class A,"0,1265%",Travel and Tourism,US,"4.482.974,76 USD",30.932
