Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
SKC,SKYCITY Entertainment Group Ltd.,"0,027%",Casinos and Gambling,NZ,"393.876,54 USD",368.434
SGR,Star Entertainment Grp Ltd.,"0,0268%",Casinos and Gambling,AU,"391.616,90 USD",1.308.563
361610,SK IE Technology Co. Ltd.,"0,0261%",Electrical Components,KR,"381.713,34 USD",12.248
383220,F&F Co. Ltd. / New,"0,0257%",Clothing and Accessories,KR,"374.596,08 USD",7.741
69,Shangri-La Asia Ltd.,"0,0255%",Hotels and Motels,BM,"372.602,53 USD",530.000
3918,NagaCorp Ltd.,"0,0254%",Casinos and Gambling,KY,"370.918,85 USD",725.457
020150,Lotte Energy Materials Corp.,"0,0254%",Electronic Components,KR,"370.300,53 USD",10.771
028670,Pan Ocean Co. Ltd.,"0,0249%",Marine Transportation,KR,"363.388,58 USD",116.871
307950,Hyundai Autoever Corp.,"0,0244%",Computer Services,KR,"356.918,85 USD",3.339
MFG,Magellan Financial Group Ltd.,"0,0243%",Asset Managers and Custodians,AU,"354.989,56 USD",65.334
088350,Hanwha Life Insurance Co. Ltd.,"0,0241%",Life Insurance,KR,"351.711,40 USD",173.605
659,NWS Holdings Ltd.,"0,0241%",Engineering and Contracting Services,BM,"351.261,29 USD",412.000
002790,AMOREPACIFIC Group,"0,024%",Cosmetics,KR,"350.992,20 USD",12.705
035760,CJ ENM Co. Ltd.,"0,0238%",Radio and TV Broadcasters,KR,"347.644,36 USD",5.378
006360,GS Engineering & Construction Corp.,"0,0232%",Construction,KR,"338.635,09 USD",31.278
066575,LG Electronics Inc. Preference Shares,"0,0225%",Household Appliance,KR,"328.214,26 USD",9.679
282330,BGF retail Co. Ltd.,"0,0217%",Food Retailers and Wholesalers,KR,"316.461,31 USD",3.761
NS8U,Hutchison Port Holdings Trust,"0,0216%",Transportation Services,SG,"314.761,60 USD",2.538.400
011210,Hyundai Wia Corp.,"0,0214%",Auto Parts,KR,"312.585,61 USD",7.784
293490,Kakao Games Corp.,"0,0214%",Electronic Entertainment,KR,"312.397,28 USD",20.259
200,Melco International Development Ltd.,"0,0212%",Casinos and Gambling,HK,"309.442,89 USD",393.000
000120,CJ Logistics Corp.,"0,0211%",Transportation Services,KR,"308.429,89 USD",4.118
345,Vitasoy International Holdings Ltd.,"0,021%",Soft Drinks,HK,"307.244,34 USD",362.000
467,United Energy Group Ltd.,"0,0209%",Oil: Crude Producers,BM,"305.137,82 USD",3.730.000
018880,Hanon Systems,"0,02%",Auto Parts,KR,"291.434,33 USD",80.540
051600,KEPCO Plant Service & Engineering Co. Ltd.,"0,0191%",Industrial Suppliers,KR,"278.594,81 USD",10.383
036460,Korea Gas Corp.,"0,0191%",Gas Distribution,KR,"278.295,48 USD",12.930
D01,DFI Retail Group Holdings Ltd.,"0,0185%",Food Retailers and Wholesalers,BM,"270.664,00 USD",147.100
179,Johnson Electric Holdings Ltd.,"0,0185%",Electrical Components,BM,"270.637,26 USD",177.625
023530,Lotte Shopping Co. Ltd.,"0,0185%",Diversified Retailers,KR,"269.540,07 USD",5.663
008930,Hanmi Science Co. ltd,"0,0185%",Pharmaceuticals,KR,"269.435,70 USD",11.824
007070,GS Retail Co. Ltd.,"0,0181%",Food Retailers and Wholesalers,KR,"264.003,75 USD",18.433
CC3,StarHub Ltd.,"0,0177%",Telecommunications Services,SG,"258.045,42 USD",272.500
004000,LOTTE Fine Chemical Co. Ltd.,"0,0174%",Chemicals: Diversified,KR,"254.338,81 USD",7.344
112040,Wemade Co. Ltd.,"0,0173%",Electronic Entertainment,KR,"253.137,55 USD",8.208
AIR,Air New Zealand Ltd.,"0,0173%",Airlines,NZ,"252.176,94 USD",760.082
047040,Daewoo Engineering & Construction Co. Ltd.,"0,0167%",Construction,KR,"244.045,92 USD",92.447
S08,Singapore Post Ltd.,"0,0166%",Delivery Services,SG,"242.915,59 USD",670.100
377300,Kakaopay Corp.,"0,0166%",Transaction Processing Services,KR,"242.796,58 USD",10.844
S59,SIA Engineering Co. Ltd.,"0,0165%",Transportation Services,SG,"240.803,43 USD",139.100
000815,Samsung Fire & Marine Insurance Co. Ltd. Preference Shares,"0,0162%",Property and Casualty Insurance,KR,"236.185,04 USD",1.234
069960,Hyundai Department Store Co. Ltd.,"0,0159%",Diversified Retailers,KR,"232.480,55 USD",6.483
007310,Ottogi Corp.,"0,0158%",Food Products,KR,"230.038,64 USD",700
004990,Lotte Corp.,"0,0154%",Food Products,KR,"224.604,24 USD",11.892
DHG,Domain Holdings Australia Ltd.,"0,0154%",Media Agencies,AU,"224.349,26 USD",113.202
000210,DL Holdings Co. Ltd.,"0,0149%",Plastics,KR,"217.310,61 USD",5.431
034230,Paradise Co. Ltd.,"0,0148%",Casinos and Gambling,KR,"215.862,71 USD",20.871
006280,Green Cross Corp./South Korea,"0,0147%",Pharmaceuticals,KR,"214.811,38 USD",2.593
000080,Hite Jinro Co. Ltd.,"0,0145%",Distillers and Vintners,KR,"211.212,96 USD",14.549
090435,Amorepacific Corp. Preference Shares,"0,0141%",Cosmetics,KR,"205.912,68 USD",5.212
096530,Seegene Inc.,"0,014%",Biotechnology,KR,"204.862,70 USD",13.411
1316,Nexteer Automotive Group Ltd.,"0,0137%",Auto Parts,KY,"199.868,34 USD",388.000
026960,Dongsuh Cos. Inc.,"0,0133%",Food Products,KR,"194.833,16 USD",14.387
2778,Champion REIT,"0,0124%",Office REITs,HK,"180.774,22 USD",873.000
308,China Travel International Investment Hong Kong Ltd.,"0,0121%",Travel and Tourism,HK,"177.246,32 USD",1.146.000
285130,SK Chemicals Co. Ltd.,"0,0118%",Chemicals and Synthetic Fibers,KR,"172.583,15 USD",4.500
001740,SK Networks Co. Ltd.,"0,0115%",Telecommunications Equipment,KR,"167.936,98 USD",46.043
005300,Lotte Chilsung Beverage Co. Ltd.,"0,011%",Soft Drinks,KR,"160.005,49 USD",1.716
336370,Solus Advanced Materials Co. Ltd.,"0,0108%",Electrical Components,KR,"158.328,44 USD",12.274
6088,FIT Hon Teng Ltd.,"0,0108%",Electrical Components,KY,"157.464,51 USD",485.000
2356,Dah Sing Banking Group Ltd.,"0,0106%",Banks,HK,"154.781,43 USD",178.864
9658,Super Hi International Holding Ltd.,"0,0103%",Restaurants and Bars,KY,"150.349,91 USD",78.000
00088K,Hanwha Corp. Preference Shares,"0,0101%",Life Insurance,KR,"147.424,04 USD",13.635
636,Kerry Logistics Network Ltd.,"0,0096%",Transportation Services,BM,"139.733,35 USD",121.871
336,Huabao International Holdings Ltd.,"0,0093%",Chemicals: Diversified,BM,"135.210,62 USD",410.000
137310,SD Biosensor Inc.,"0,0093%",Medical Supplies,KR,"135.109,08 USD",18.632
051905,LG Household & Health Care Ltd. Preference Shares,"0,0082%",Personal Products,KR,"119.927,27 USD",899
006405,Samsung SDI Co. Ltd. Preference Shares,"0,0074%",Electrical Components,KR,"108.395,51 USD",673
097955,CJ CheilJedang Corp. Preference Shares,"0,005%",Food Products,KR,"73.245,82 USD",665
00680K,Mirae Asset Daewoo Co. Ltd. Preference Shares,"0,0007%",Investment Services,KR,"10.388,60 USD",4.046
