Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
GPN,Global Payments Inc.,"0,0596%",Transaction Processing Services,US,"31.002.427,05 USD",304.393
TRGP,Targa Resources Corp.,"0,0593%",Pipelines,US,"30.870.917,07 USD",261.109
CHD,Church & Dwight Co. Inc.,"0,0593%",Nondurable Household Products,US,"30.864.573,27 USD",288.427
TROW,T. Rowe Price Group Inc.,"0,0593%",Asset Managers and Custodians,US,"30.827.038,09 USD",261.623
CBRE,CBRE Group Inc. Class A,"0,0589%",Real Estate Services,US,"30.645.013,34 USD",347.962
WTW,Willis Towers Watson plc,"0,0589%",Insurance Brokers,IE,"30.619.737,89 USD",119.941
FTV,Fortive Corp.,"0,0586%",Diversified Industrials,US,"30.503.353,24 USD",409.771
DOV,Dover Corp.,"0,0579%",Diversified Industrials,US,"30.098.686,80 USD",163.740
WEC,WEC Energy Group Inc.,"0,0575%",Multi-Utilities,US,"29.897.882,19 USD",368.973
FITB,Fifth Third Bancorp,"0,0574%",Banks,US,"29.849.934,00 USD",797.700
LYB,LyondellBasell Industries NV Class A,"0,0572%",Specialty Chemicals,NL,"29.774.798,70 USD",299.485
TTWO,Take-Two Interactive Software Inc.,"0,0572%",Electronic Entertainment,US,"29.764.419,60 USD",185.610
AWK,American Water Works Co. Inc.,"0,0572%",Water,US,"29.754.882,72 USD",227.536
MTB,M&T Bank Corp.,"0,0566%",Banks,US,"29.441.932,80 USD",194.208
GRMN,Garmin Ltd.,"0,0565%",Consumer Electronics,CH,"29.393.051,50 USD",179.390
PHM,PulteGroup Inc.,"0,0559%",Home Construction,US,"29.091.840,40 USD",247.970
NTAP,NetApp Inc.,"0,0558%",Computer Hardware,US,"29.012.791,30 USD",240.910
NVR,NVR Inc.,"0,0553%",Home Construction,US,"28.779.695,31 USD",3.747
IFF,International Flavors & Fragrances Inc.,"0,0553%",Specialty Chemicals,US,"28.760.801,58 USD",299.031
WST,West Pharmaceutical Services Inc.,"0,0552%",Medical Supplies,US,"28.702.094,46 USD",86.606
DLTR,Dollar Tree Inc.,"0,0549%",Diversified Retailers,US,"28.574.095,20 USD",242.256
WDC,Western Digital Corp.,"0,0548%",Computer Hardware,US,"28.511.419,52 USD",378.688
KEYS,Keysight Technologies Inc.,"0,0544%",Electronic Equipment: Gauges and Meters,US,"28.299.495,84 USD",204.358
CAH,Cardinal Health Inc.,"0,0543%",Pharmaceuticals,US,"28.247.774,85 USD",284.555
ZBH,Zimmer Biomet Holdings Inc.,"0,0542%",Medical Equipment,US,"28.219.925,65 USD",245.071
DTE,DTE Energy Co.,"0,054%",Conventional Electricity,US,"28.090.838,33 USD",241.061
ETR,Entergy Corp.,"0,0536%",Conventional Electricity,US,"27.879.859,07 USD",247.843
BR,Broadridge Financial Solutions Inc.,"0,0533%",Investment Services,US,"27.730.753,94 USD",138.122
IRM,Iron Mountain Inc.,"0,053%",Other Specialty REITs,US,"27.553.859,82 USD",341.478
APTV,Aptiv plc,"0,0523%",Auto Parts,JE,"27.183.390,88 USD",326.488
RJF,Raymond James Financial Inc.,"0,0518%",Investment Services,US,"26.955.286,25 USD",219.595
HPE,Hewlett Packard Enterprise Co.,"0,0516%",Computer Services,US,"26.835.307,10 USD",1.520.414
STT,State Street Corp.,"0,0513%",Asset Managers and Custodians,US,"26.712.750,10 USD",353.390
EQR,Equity Residential,"0,0505%",Residential REITs,US,"26.261.129,93 USD",403.831
NDAQ,Nasdaq Inc.,"0,0504%",Investment Services,US,"26.226.674,82 USD",444.294
STE,STERIS plc,"0,0495%",Medical Equipment,IE,"25.730.381,60 USD",115.445
BALL,Ball Corp.,"0,0492%",Containers and Packaging,US,"25.614.948,76 USD",368.932
WY,Weyerhaeuser Co.,"0,0492%",Timber REITs,US,"25.606.010,43 USD",852.681
VLTO,Veralto Corp.,"0,0488%",Electronic Equipment: Pollution Control,US,"25.366.901,34 USD",257.323
PPL,PPL Corp.,"0,0486%",Conventional Electricity,US,"25.300.351,30 USD",862.610
TER,Teradyne Inc.,"0,0484%",Production Technology Equipment,US,"25.179.212,88 USD",178.652
CTRA,Coterra Energy Inc.,"0,0482%",Oil: Crude Producers,US,"25.061.122,92 USD",878.721
SBAC,SBA Communications Corp. Class A,"0,0477%",Infrastructure REITs,US,"24.800.954,64 USD",126.098
BRO,Brown & Brown Inc.,"0,0475%",Property and Casualty Insurance,US,"24.686.947,51 USD",275.801
PTC,PTC Inc.,"0,0474%",Software,US,"24.651.746,24 USD",139.876
HUBB,Hubbell Inc. Class B,"0,0469%",Electrical Components,US,"24.416.069,76 USD",62.784
FE,FirstEnergy Corp.,"0,0469%",Conventional Electricity,US,"24.401.304,18 USD",606.093
ES,Eversource Energy,"0,0465%",Conventional Electricity,US,"24.178.396,76 USD",408.212
STLD,Steel Dynamics Inc.,"0,0457%",Iron and Steel,US,"23.787.226,43 USD",177.689
TYL,Tyler Technologies Inc.,"0,0456%",Software,US,"23.713.932,12 USD",49.367
VTR,Ventas Inc.,"0,0455%",Health Care REITs,US,"23.660.749,42 USD",470.767
HBAN,Huntington Bancshares Inc./OH,"0,0455%",Banks,US,"23.657.624,64 USD",1.699.542
LDOS,Leidos Holdings Inc.,"0,0454%",Computer Services,US,"23.631.523,20 USD",160.704
GPC,Genuine Parts Co.,"0,0454%",Auto Parts,US,"23.593.988,32 USD",163.688
INVH,Invitation Homes Inc.,"0,0452%",Residential REITs,US,"23.492.017,08 USD",675.252
BLDR,Builders FirstSource Inc.,"0,0447%",Building Materials: Other,US,"23.248.304,52 USD",144.588
AXON,Axon Enterprise Inc.,"0,0446%",Defense,US,"23.219.184,78 USD",82.434
CPAY,Corpay Inc.,"0,0434%",Transaction Processing Services,US,"22.589.741,98 USD",84.394
CNP,CenterPoint Energy Inc.,"0,0434%",Multi-Utilities,US,"22.565.165,49 USD",739.599
AEE,Ameren Corp.,"0,0433%",Multi-Utilities,US,"22.534.641,69 USD",307.137
ULTA,Ulta Beauty Inc.,"0,0432%",Specialty Retailers,US,"22.455.335,24 USD",56.836
ARE,Alexandria Real Estate Equities Inc.,"0,0422%",Office REITs,US,"21.959.784,00 USD",184.536
